Index;Equation;Band
R;R;RGB
G;G;RGB
B;B;RGB
NR;R/(R+G+B);RGB
NG;G/(R+G+B);RGB
NB;B/(R+G+B);RGB
GB;G/B;RGB
RB;R/B;RGB
GR;G/R;RGB
BI;sqrt((R^2+G^2+B^2)/3);RGB
BIM;sqrt((R*2+G*2+B*2)/3);RGB
SCI;(R-G)/(R+G);RGB
GLI;(2*G-R-B)/(2*G+R+B);RGB
HI;(2*R-G-B)/(G-B);RGB
NGRDI;(G-R)/(G+R);RGB
NDGBI;(G-B)/(G+B);RGB
NDRBI;(R-B)/(R+B);RGB
I;R+G+B;RGB
S;((R+G+B)-3*B)/(R+G+B);RGB
VARI;(G-R)/(G+R-B);RGB
HUE;atan(2*(B-G-R)/30.5*(G-R));RGB
HUE2;atan(2*(R-G-R)/30.5*(G-B));RGB
BGI;B/G;RGB
L;R+G+B/3;RGB
GRAY;0.299*R + 0.587*G + 0.114*B;RGB
GLAI;(25*(G-R)/(G+R-B)+1.25);RGB
SAT;(max(R,G,B) - min(R,G,B)) / max(R,G,B);RGB
CI;(R-B)/R;RGB
SHP;2*(R-G-B)/(G-B);RGB
RI;R**2/(B*G**3);RGB
G-B;G-B;RGB
G-R;G-R;RGB
R-G;R-G;RGB
R-B;R-B;RGB
B-R;B-R;RGB
B-G;B-G;RGB
DGCI;((h - 60)/60 + (1 - s/100) + (1 - b/100)) / 3;HSB
GRAY2;((R^2.2+(1.5*G)^2.2+(0.6*B)^2.2)/(1+1.5^2.2+0.6^2.2))^1/2.2;RGB
L*;(0.2126 * R + 0.7152 * G + 0.0722 * B);CIELab
a;0.55*( (R - (0.2126 * R + 0.7152 * G + 0.0722 * B)) / (1.0 - 0.2126));CIELab
b*;0.55*( (B - (0.2126 * R + 0.7152 * G + 0.0722 * B)) / (1.0 - 0.0722));CIELab
L*-a;((0.2126 * R + 0.7152 * G + 0.0722 * B)) - (0.55*( (R - (0.2126 * R + 0.7152 * G + 0.0722 * B)) / (1.0 - 0.2126)));CIELab
L*-b;((0.2126 * R + 0.7152 * G + 0.0722 * B)) - (0.55*( (B - (0.2126 * R + 0.7152 * G + 0.0722 * B)) / (1.0 - 0.0722)));CIELab
b*-a;(0.55*( (B - (0.2126 * R + 0.7152 * G + 0.0722 * B)) / (1.0 - 0.0722))) - (0.55*( (R - (0.2126 * R + 0.7152 * G + 0.0722 * B)) / (1.0 - 0.2126)));CIELab
